date,harina,agua,leche,levadura,sal,manteca,azucar,chocolate
2022-10-09,667265.6696432846,328598.0699460239,67055.284319718,11170.400177323458,9645.53503143322,55104.39072018159,18583.207661627515,49484.50146952676
2022-10-16,543765.6685014749,257958.0698899807,53155.28368331401,9152.40017713471,7785.5350252295475,46294.38924259941,13576.256878123188,35109.50146894192
2022-10-23,667715.6680433037,328298.06987024174,63755.28337907422,11277.40017707641,9683.535022879303,55064.38852529231,17068.744971080734,44609.501468752496
2022-10-30,950665.6678594544,478338.0698632895,108605.2832336291,16045.4001770584,14008.53502198892,80494.38817706838,28235.775199690022,75734.50146869115
2022-11-06,862615.6677856817,434708.06986084086,86755.28316409749,14220.400177052838,12663.535021651604,71144.38800801958,26102.431821157264,61984.50146867128
2022-11-13,601665.6677560789,290288.06985997834,60155.28313085716,10167.40017705112,8668.53502152381,51374.387925953146,15963.783587491933,44734.50146866484
2022-11-20,414765.66774420056,193528.0698596746,32505.283114966267,7001.400177050587,5878.535021475396,32484.38788611317,8404.886598807245,23359.501468662773
2022-11-27,410715.66773943405,191678.0698595676,30705.28310736943,6930.4001770504265,5810.535021457056,31624.387866772457,7865.786631549957,26984.501468662093
2022-12-04,414665.6677375215,189668.06985952996,35355.283103737704,6965.400177050376,5858.5350214501095,35014.38785738331,9391.521038284243,30609.501468661874
2022-12-11,280665.667736754,114588.06985951665,24255.28310200151,4751.40017705036,3820.535021447477,25024.387852825257,5177.120297873111,22984.501468661805
2022-12-18,472765.6677364461,217788.06985951195,45305.283101171495,7984.4001770503555,6707.535021446479,42154.3878506125,11807.609280392038,37359.50146866179
2022-12-25,780315.6677363223,417988.0698595104,53405.28310077471,13333.400177050353,11668.5350214461,50134.3878495383,15273.00827927042,43609.50146866177
2023-01-01,760115.6677362728,404208.0698595097,56805.28310058502,12960.400177050353,11340.53502144596,50084.38784901682,15353.333853496051,41984.50146866178
2023-01-08,367915.667736253,171098.0698595095,25555.283100494325,6256.400177050353,5198.535021445904,27944.38784876366,6493.59951483532,24984.50146866177
2023-01-15,384615.667736245,173898.06985950944,32305.28310045097,6542.400177050353,5401.535021445884,32634.387848640763,7638.816288589585,30234.50146866177
2023-01-22,414265.66773624177,198528.06985950936,27105.28310043025,6982.400177050353,5909.535021445876,29834.387848581104,7183.993171159955,25484.501468661765
2023-01-29,414265.6677362405,191038.06985950936,32905.28310042033,7026.400177050353,5852.535021445872,34794.38784855214,8674.137503409984,30984.50146866177
2023-02-05,429265.66773624,202088.06985950936,35555.2831004156,7237.400177050353,6085.535021445872,33474.387848538085,9409.255275321344,23734.501468661776
2023-02-12,510115.6677362397,248578.06985950933,40005.28310041333,8550.400177050353,7323.535021445872,39084.38784853126,11684.35137458608,31234.50146866177
2023-02-19,691015.6677362396,343188.06985950936,64855.28310041225,11723.400177050353,10080.535021445874,55994.38784852795,17349.429789452377,51234.501468661765
2023-02-26,697415.6677362398,342038.0698595093,74455.28310041172,11638.400177050353,10144.535021445874,58114.38784852633,20204.4937742422,48734.50146866176
2023-03-05,730965.6677362397,372208.0698595093,70255.28310041149,12271.40017705035,10722.535021445874,54304.38784852555,18299.54598441002,51734.50146866178
2023-03-12,506065.6677362397,233588.0698595093,52505.28310041138,8531.40017705035,7135.535021445875,45984.38784852518,13814.588586747715,41234.50146866178
2023-03-19,521615.6677362397,240778.0698595093,56205.283100411325,8843.40017705035,7364.535021445874,48374.387848525,14384.62334930936,46734.50146866178
2023-03-26,564315.6677362397,259348.0698595093,62655.283100411296,9567.40017705035,7977.535021445874,54964.38784852491,16684.651714787815,49234.50146866178
2023-04-02,488765.6677362397,231958.0698595093,42655.28310041128,8162.400177050349,6965.535021445875,39644.387848524864,11404.674860388424,30984.50146866178
2023-04-09,511265.6677362397,244408.0698595093,47755.28310041128,8512.40017705035,7268.535021445875,40984.38784852484,12289.693746684612,28859.50146866178
2023-04-16,803015.6677362397,394758.0698595093,88055.28310041127,13686.40017705035,11708.535021445876,70334.38784852483,22114.709157482965,61484.50146866178
2023-04-23,967065.6677362396,485818.0698595093,107355.28310041128,16329.40017705035,14161.535021445874,84524.38784852483,29184.72173235224,77859.50146866178
2023-04-30,829365.6677362396,410328.0698595093,83805.28310041128,13908.40017705035,12073.535021445874,72064.38784852481,23399.73199316637,59859.50146866178
2023-05-07,720115.6677362397,355878.0698595093,71755.28310041128,12013.40017705035,10500.535021445874,59514.387848524806,19944.740365762875,50359.501468661794
2023-05-14,679365.6677362395,335538.0698595093,65255.28310041131,11318.400177050347,9862.535021445874,55834.38784852479,18514.74719761572,46359.50146866179
2023-05-21,653265.6677362396,323318.0698595093,62205.28310041131,11049.400177050347,9437.535021445874,52464.38784852482,16279.75277225596,43609.50146866179
2023-05-28,977861.3233493092,461683.9623548405,86360.02210502054,16614.435359085535,14023.148678322434,77276.42048122369,20769.894071665025,61955.19294834614
2023-06-04,781946.1449559085,368261.8862038539,53377.39726611082,12974.681011543762,11014.523936148367,54829.24683417555,12795.209212277725,39781.32832095123
2023-06-11,793500.4899769641,362056.12633643736,63653.25502196345,13249.56811865058,11117.477002537698,64200.393263922255,15553.783140530397,54151.13152639762
2023-06-18,782952.3316830054,361228.8121104317,65774.39228736043,13107.574656148858,11010.535903649778,61060.54618467808,15360.5368332426,51277.99160104726
2023-06-25,852775.0846232955,395419.483412756,75638.88502820933,14231.085999572208,12108.083126675938,68615.27320943761,18034.48569823676,53988.108463071054
2023-07-02,825910.98218212,392267.5104670579,67498.00736085311,13794.595193403447,11751.030789990717,59959.89438497874,15923.90621914034,49100.19092482906
2023-07-09,1086854.055697728,527693.5422924308,99328.46535114446,18066.97251923985,15680.085949315791,86073.3009779934,27446.47193384436,64221.00713181024
2023-07-16,1502640.7692712524,758529.8795379259,149819.12308266023,25503.1624171563,22002.21261047309,118865.53634124815,38544.3643899063,96844.6520652568
2023-07-23,1458075.247713689,727014.5011060284,152014.65691046335,24614.912189585182,21266.5029013742,119116.91232001896,40414.363681695344,96219.21317993052
2023-07-30,1478298.9560334913,749229.0846779925,143562.52180868096,24775.83489829237,21611.234030098185,114152.7257023454,40137.92232669263,83344.07103168758
2023-08-06,1645288.4060332573,821547.1769612068,182911.50110024877,27638.811024248767,24147.132168979057,137220.69326677054,48606.22554691196,118719.02499204632
2023-08-13,1858334.172659654,937256.5050454516,206311.0131395753,31281.80364993871,27388.093579183434,154329.70660051916,54935.240457200685,128344.01008051088
2023-08-20,1655432.473943856,835466.2683904171,176010.77986471314,27913.80137213233,24446.078959548988,132659.2276134833,45295.75620180101,115219.00525089265
2023-08-27,1391881.7923041915,699316.1850382929,134660.66834514964,23317.80066855438,20362.073420942008,108598.99508441864,36723.41670489291,81094.00368665319
2023-09-03,940481.5187842582,443216.1556808925,91810.61503201965,15730.800451230414,13401.071322656488,75938.88220085012,23038.747394309936,54719.00318001995
2023-09-10,834931.4090295625,393716.1453409405,66060.58954510294,14055.800384102517,11865.07052772698,63748.82740038863,16427.177007497998,45344.00301592921
2023-09-17,696431.3649885557,318126.1416991124,55110.577360807554,11759.800363367782,9717.070226570191,52488.80079695452,12724.055384693558,42594.00296278272
2023-09-24,648581.3473163252,294966.1404164264,46310.57153597376,10887.800356963153,9017.0701124778,46988.78788205039,10809.667987761912,40219.00294556939
2023-10-01,574931.3402250311,246876.1399646524,40910.56875134912,9537.800354984864,7909.070069254221,44598.78161238054,9739.247747246927,37969.00293999425
