date,forecast
2022-10-09,9645.535031433219
2022-10-16,7785.5350252295475
2022-10-23,9683.535022879303
2022-10-30,14008.53502198892
2022-11-06,12663.535021651604
2022-11-13,8668.53502152381
2022-11-20,5878.535021475396
2022-11-27,5810.535021457056
2022-12-04,5858.5350214501095
2022-12-11,3820.535021447477
2022-12-18,6707.535021446479
2022-12-25,11668.535021446101
2023-01-01,11340.53502144596
2023-01-08,5198.535021445904
2023-01-15,5401.535021445884
2023-01-22,5909.535021445876
2023-01-29,5852.535021445872
2023-02-05,6085.535021445872
2023-02-12,7323.535021445872
2023-02-19,10080.535021445874
2023-02-26,10144.535021445874
2023-03-05,10722.535021445874
2023-03-12,7135.535021445875
2023-03-19,7364.535021445874
2023-03-26,7977.535021445874
2023-04-02,6965.535021445875
2023-04-09,7268.535021445875
2023-04-16,11708.535021445876
2023-04-23,14161.535021445874
2023-04-30,12073.535021445874
2023-05-07,10500.535021445874
2023-05-14,9862.535021445874
2023-05-21,9437.535021445874
2023-05-28,14023.148678322434
2023-06-04,11014.523936148367
2023-06-11,11117.477002537698
2023-06-18,11010.535903649778
2023-06-25,12108.083126675938
2023-07-02,11751.030789990717
2023-07-09,15680.085949315793
2023-07-16,22002.212610473092
2023-07-23,21266.502901374202
2023-07-30,21611.234030098185
2023-08-06,24147.132168979057
2023-08-13,27388.093579183434
2023-08-20,24446.078959548988
2023-08-27,20362.073420942008
2023-09-03,13401.071322656488
2023-09-10,11865.070527726979
2023-09-17,9717.070226570193
2023-09-24,9017.0701124778
2023-10-01,7909.070069254221
