date,forecast
2022-10-09,49484.50146952676
2022-10-16,35109.50146894192
2022-10-23,44609.501468752496
2022-10-30,75734.50146869115
2022-11-06,61984.501468671275
2022-11-13,44734.50146866484
2022-11-20,23359.501468662773
2022-11-27,26984.501468662093
2022-12-04,30609.501468661874
2022-12-11,22984.501468661805
2022-12-18,37359.50146866179
2022-12-25,43609.50146866177
2023-01-01,41984.50146866178
2023-01-08,24984.50146866177
2023-01-15,30234.50146866177
2023-01-22,25484.501468661765
2023-01-29,30984.501468661772
2023-02-05,23734.501468661776
2023-02-12,31234.50146866177
2023-02-19,51234.501468661765
2023-02-26,48734.50146866176
2023-03-05,51734.50146866178
2023-03-12,41234.50146866178
2023-03-19,46734.50146866178
2023-03-26,49234.50146866178
2023-04-02,30984.50146866178
2023-04-09,28859.50146866178
2023-04-16,61484.50146866178
2023-04-23,77859.50146866178
2023-04-30,59859.50146866178
2023-05-07,50359.501468661794
2023-05-14,46359.50146866179
2023-05-21,43609.50146866179
2023-05-28,61955.19294834614
2023-06-04,39781.32832095123
2023-06-11,54151.13152639762
2023-06-18,51277.99160104726
2023-06-25,53988.108463071054
2023-07-02,49100.19092482906
2023-07-09,64221.00713181024
2023-07-16,96844.65206525681
2023-07-23,96219.21317993052
2023-07-30,83344.07103168758
2023-08-06,118719.02499204632
2023-08-13,128344.01008051087
2023-08-20,115219.00525089265
2023-08-27,81094.00368665319
2023-09-03,54719.00318001995
2023-09-10,45344.00301592921
2023-09-17,42594.00296278272
2023-09-24,40219.00294556939
2023-10-01,37969.00293999425
