date,forecast
2022-10-09,11170.400177323458
2022-10-16,9152.40017713471
2022-10-23,11277.40017707641
2022-10-30,16045.4001770584
2022-11-06,14220.400177052838
2022-11-13,10167.400177051119
2022-11-20,7001.400177050587
2022-11-27,6930.4001770504265
2022-12-04,6965.4001770503755
2022-12-11,4751.40017705036
2022-12-18,7984.4001770503555
2022-12-25,13333.400177050353
2023-01-01,12960.400177050351
2023-01-08,6256.400177050353
2023-01-15,6542.400177050353
2023-01-22,6982.400177050353
2023-01-29,7026.400177050353
2023-02-05,7237.400177050353
2023-02-12,8550.400177050353
2023-02-19,11723.400177050351
2023-02-26,11638.400177050351
2023-03-05,12271.40017705035
2023-03-12,8531.40017705035
2023-03-19,8843.40017705035
2023-03-26,9567.40017705035
2023-04-02,8162.400177050349
2023-04-09,8512.40017705035
2023-04-16,13686.40017705035
2023-04-23,16329.40017705035
2023-04-30,13908.40017705035
2023-05-07,12013.40017705035
2023-05-14,11318.400177050347
2023-05-21,11049.400177050347
2023-05-28,16614.435359085535
2023-06-04,12974.681011543762
2023-06-11,13249.56811865058
2023-06-18,13107.574656148858
2023-06-25,14231.085999572208
2023-07-02,13794.595193403447
2023-07-09,18066.972519239855
2023-07-16,25503.1624171563
2023-07-23,24614.912189585182
2023-07-30,24775.834898292374
2023-08-06,27638.811024248767
2023-08-13,31281.80364993871
2023-08-20,27913.801372132326
2023-08-27,23317.80066855438
2023-09-03,15730.800451230414
2023-09-10,14055.800384102515
2023-09-17,11759.800363367782
2023-09-24,10887.800356963153
2023-10-01,9537.800354984865
