date,forecast
2022-10-09,67055.284319718
2022-10-16,53155.28368331401
2022-10-23,63755.28337907422
2022-10-30,108605.2832336291
2022-11-06,86755.28316409749
2022-11-13,60155.283130857155
2022-11-20,32505.283114966267
2022-11-27,30705.28310736943
2022-12-04,35355.283103737704
2022-12-11,24255.28310200151
2022-12-18,45305.283101171495
2022-12-25,53405.28310077471
2023-01-01,56805.28310058502
2023-01-08,25555.283100494325
2023-01-15,32305.283100450975
2023-01-22,27105.283100430246
2023-01-29,32905.28310042033
2023-02-05,35555.283100415596
2023-02-12,40005.28310041333
2023-02-19,64855.28310041225
2023-02-26,74455.28310041172
2023-03-05,70255.28310041149
2023-03-12,52505.28310041138
2023-03-19,56205.283100411325
2023-03-26,62655.283100411296
2023-04-02,42655.28310041128
2023-04-09,47755.283100411274
2023-04-16,88055.28310041127
2023-04-23,107355.28310041127
2023-04-30,83805.28310041128
2023-05-07,71755.28310041128
2023-05-14,65255.28310041131
2023-05-21,62205.28310041131
2023-05-28,86360.02210502054
2023-06-04,53377.39726611082
2023-06-11,63653.25502196345
2023-06-18,65774.39228736043
2023-06-25,75638.88502820933
2023-07-02,67498.00736085311
2023-07-09,99328.46535114446
2023-07-16,149819.12308266023
2023-07-23,152014.65691046335
2023-07-30,143562.52180868096
2023-08-06,182911.50110024874
2023-08-13,206311.0131395753
2023-08-20,176010.77986471314
2023-08-27,134660.66834514964
2023-09-03,91810.61503201965
2023-09-10,66060.58954510294
2023-09-17,55110.577360807554
2023-09-24,46310.57153597376
2023-10-01,40910.568751349114
