date,forecast
2022-10-09,18583.207661627515
2022-10-16,13576.256878123188
2022-10-23,17068.744971080734
2022-10-30,28235.775199690022
2022-11-06,26102.431821157264
2022-11-13,15963.783587491933
2022-11-20,8404.886598807245
2022-11-27,7865.786631549957
2022-12-04,9391.521038284245
2022-12-11,5177.120297873111
2022-12-18,11807.609280392038
2022-12-25,15273.00827927042
2023-01-01,15353.333853496053
2023-01-08,6493.59951483532
2023-01-15,7638.816288589585
2023-01-22,7183.993171159955
2023-01-29,8674.137503409984
2023-02-05,9409.255275321344
2023-02-12,11684.35137458608
2023-02-19,17349.429789452377
2023-02-26,20204.493774242197
2023-03-05,18299.54598441002
2023-03-12,13814.588586747715
2023-03-19,14384.62334930936
2023-03-26,16684.651714787815
2023-04-02,11404.674860388424
2023-04-09,12289.693746684612
2023-04-16,22114.709157482965
2023-04-23,29184.72173235224
2023-04-30,23399.73199316637
2023-05-07,19944.740365762875
2023-05-14,18514.74719761572
2023-05-21,16279.752772255959
2023-05-28,20769.894071665025
2023-06-04,12795.209212277723
2023-06-11,15553.783140530397
2023-06-18,15360.5368332426
2023-06-25,18034.485698236756
2023-07-02,15923.906219140339
2023-07-09,27446.471933844357
2023-07-16,38544.3643899063
2023-07-23,40414.363681695344
2023-07-30,40137.92232669263
2023-08-06,48606.22554691196
2023-08-13,54935.240457200685
2023-08-20,45295.75620180101
2023-08-27,36723.41670489291
2023-09-03,23038.747394309936
2023-09-10,16427.177007497998
2023-09-17,12724.055384693558
2023-09-24,10809.667987761912
2023-10-01,9739.247747246929
